analysis_group	evaluable_tto_reports	distinct_primaryids_in_weibull_input	same_day_reports	same_day_percentage	within_1_day_reports	within_1_day_percentage	within_30_days_reports	within_30_days_percentage	median_tto_days	q1_tto_days_nearest_rank	q3_tto_days_nearest_rank	min_tto_days	max_tto_days
POOLED	9069	8987	8010	88.32	8450	93.17	9019	99.45	0.0000	0	0	0	661
Iohexol	4564	4525	4164	91.24	4328	94.83	4543	99.54	0.0000	0	0	0	661
Ioversol	1483	1477	1354	91.30	1399	94.34	1482	99.93	0.0000	0	0	0	217
Iopamidol	1367	1356	1240	90.71	1294	94.66	1353	98.98	0.0000	0	0	0	372
Iodixanol	1655	1629	1252	75.65	1429	86.34	1641	99.15	0.0000	0	0	0	564
