analysis_group	section	category	n	percentage
POOLED	Reporter country	ZM	1	0.01
POOLED	Reporter qualification	Other	6641	44.93
POOLED	Reporter qualification	Other health professional	3254	22.01
POOLED	Reporter qualification	Physician	3158	21.37
POOLED	Reporter qualification	Pharmacist	1711	11.58
POOLED	Reporter qualification	Nurse	17	0.12
Iohexol	Sex	Female	2945	45.71
Iohexol	Sex	Male	2059	31.96
Iohexol	Sex	Missing or unknown	1439	22.33
Iohexol	Age group	18-59 years	2440	37.87
Iohexol	Age group	>=60 years	2033	31.55
Iohexol	Age group	Missing or unknown	1850	28.71
Iohexol	Age group	<18 years	120	1.86
Iohexol	Reporter country	US	2374	36.85
Iohexol	Reporter country	CN	633	9.82
Iohexol	Reporter country	Missing or unknown	382	5.93
Iohexol	Reporter country	JP	355	5.51
Iohexol	Reporter country	FR	340	5.28
Iohexol	Reporter country	AU	332	5.15
Iohexol	Reporter country	CA	332	5.15
Iohexol	Reporter country	IN	240	3.72
Iohexol	Reporter country	GB	174	2.70
Iohexol	Reporter country	BR	130	2.02
Iohexol	Reporter country	IT	106	1.65
Iohexol	Reporter country	DE	85	1.32
Iohexol	Reporter country	ES	74	1.15
Iohexol	Reporter country	PL	74	1.15
Iohexol	Reporter country	SE	67	1.04
Iohexol	Reporter country	NO	60	0.93
Iohexol	Reporter country	VN	58	0.90
Iohexol	Reporter country	RU	43	0.67
Iohexol	Reporter country	FI	39	0.61
Iohexol	Reporter country	CO	34	0.53
Iohexol	Reporter country	EG	31	0.48
Iohexol	Reporter country	DK	29	0.45
Iohexol	Reporter country	EU	28	0.43
Iohexol	Reporter country	NZ	28	0.43
Iohexol	Reporter country	INDIA	23	0.36
Iohexol	Reporter country	TR	22	0.34
Iohexol	Reporter country	LB	19	0.29
Iohexol	Reporter country	CH	17	0.26
Iohexol	Reporter country	HR	16	0.25
Iohexol	Reporter country	IE	16	0.25
Iohexol	Reporter country	RO	16	0.25
Iohexol	Reporter country	AT	14	0.22
Iohexol	Reporter country	MD	14	0.22
Iohexol	Reporter country	KR	13	0.20
Iohexol	Reporter country	IL	12	0.19
Iohexol	Reporter country	ID	11	0.17
Iohexol	Reporter country	TW	11	0.17
Iohexol	Reporter country	CI	10	0.16
Iohexol	Reporter country	MY	9	0.14
Iohexol	Reporter country	ZA	9	0.14
Iohexol	Reporter country	DZ	8	0.12
Iohexol	Reporter country	NL	7	0.11
Iohexol	Reporter country	NORWAY	7	0.11
Iohexol	Reporter country	PR	7	0.11
Iohexol	Reporter country	LV	6	0.09
Iohexol	Reporter country	MM	6	0.09
Iohexol	Reporter country	MX	6	0.09
Iohexol	Reporter country	TN	6	0.09
Iohexol	Reporter country	BY	5	0.08
Iohexol	Reporter country	LK	5	0.08
Iohexol	Reporter country	SG	5	0.08
Iohexol	Reporter country	ALGERIA	4	0.06
Iohexol	Reporter country	HU	4	0.06
Iohexol	Reporter country	IR	4	0.06
Iohexol	Reporter country	KE	4	0.06
Iohexol	Reporter country	NG	4	0.06
Iohexol	Reporter country	RUSSIAN FEDERATION	4	0.06
Iohexol	Reporter country	THAILAND	4	0.06
Iohexol	Reporter country	BE	3	0.05
Iohexol	Reporter country	CL	3	0.05
Iohexol	Reporter country	ET	3	0.05
Iohexol	Reporter country	GE	3	0.05
Iohexol	Reporter country	PH	3	0.05
Iohexol	Reporter country	PT	3	0.05
Iohexol	Reporter country	RS	3	0.05
Iohexol	Reporter country	AM	2	0.03
Iohexol	Reporter country	EE	2	0.03
Iohexol	Reporter country	IS	2	0.03
Iohexol	Reporter country	KP	2	0.03
Iohexol	Reporter country	MA	2	0.03
Iohexol	Reporter country	PE	2	0.03
Iohexol	Reporter country	SD	2	0.03
Iohexol	Reporter country	SN	2	0.03
Iohexol	Reporter country	SOUTH AFRICA	2	0.03
Iohexol	Reporter country	YEMEN	2	0.03
Iohexol	Reporter country	AE	1	0.02
Iohexol	Reporter country	CZ	1	0.02
Iohexol	Reporter country	GH	1	0.02
Iohexol	Reporter country	GR	1	0.02
Iohexol	Reporter country	INDONESIA	1	0.02
Iohexol	Reporter country	IQ	1	0.02
Iohexol	Reporter country	IRAN (ISLAMIC REPUBLIC OF)	1	0.02
Iohexol	Reporter country	KZ	1	0.02
Iohexol	Reporter country	LEBANON	1	0.02
Iohexol	Reporter country	LT	1	0.02
Iohexol	Reporter country	MU	1	0.02
Iohexol	Reporter country	NEW ZEALAND	1	0.02
Iohexol	Reporter country	NP	1	0.02
Iohexol	Reporter country	OM	1	0.02
Iohexol	Reporter country	PHILIPPINES	1	0.02
Iohexol	Reporter country	PK	1	0.02
Iohexol	Reporter country	PS	1	0.02
Iohexol	Reporter country	QA	1	0.02
Iohexol	Reporter country	SK	1	0.02
Iohexol	Reporter country	SV	1	0.02
Iohexol	Reporter country	SWEDEN	1	0.02
Iohexol	Reporter country	SY	1	0.02
Iohexol	Reporter country	TH	1	0.02
Iohexol	Reporter country	UY	1	0.02
Iohexol	Reporter country	YE	1	0.02
Iohexol	Reporter country	ZM	1	0.02
Iohexol	Reporter qualification	Other	2692	41.78
Iohexol	Reporter qualification	Other health professional	1913	29.69
Iohexol	Reporter qualification	Physician	1271	19.73
Iohexol	Reporter qualification	Pharmacist	567	8.80
Ioversol	Sex	Female	1646	50.31
Ioversol	Sex	Male	1036	31.66
Ioversol	Sex	Missing or unknown	590	18.03
Ioversol	Age group	18-59 years	1199	36.64
Ioversol	Age group	>=60 years	1075	32.85
Ioversol	Age group	Missing or unknown	912	27.87
Ioversol	Age group	<18 years	86	2.63
Ioversol	Reporter country	US	1436	43.89
Ioversol	Reporter country	JP	326	9.96
Ioversol	Reporter country	FR	277	8.47
Ioversol	Reporter country	GB	111	3.39
Ioversol	Reporter country	BR	109	3.33
Ioversol	Reporter country	Missing or unknown	107	3.27
Ioversol	Reporter country	CN	82	2.51
Ioversol	Reporter country	GR	78	2.38
Ioversol	Reporter country	IT	59	1.80
Ioversol	Reporter country	AU	58	1.77
Ioversol	Reporter country	ES	48	1.47
Ioversol	Reporter country	IE	36	1.10
Ioversol	Reporter country	DE	35	1.07
Ioversol	Reporter country	MX	31	0.95
Ioversol	Reporter country	PL	31	0.95
Ioversol	Reporter country	PR	29	0.89
Ioversol	Reporter country	AR	27	0.83
Ioversol	Reporter country	PT	27	0.83
Ioversol	Reporter country	TH	26	0.79
Ioversol	Reporter country	CA	24	0.73
Ioversol	Reporter country	CO	23	0.70
Ioversol	Reporter country	DK	20	0.61
Ioversol	Reporter country	POLAND	19	0.58
Ioversol	Reporter country	CH	18	0.55
Ioversol	Reporter country	KR	18	0.55
Ioversol	Reporter country	TURKEY	18	0.55
Ioversol	Reporter country	EU	16	0.49
Ioversol	Reporter country	NL	13	0.40
Ioversol	Reporter country	RU	10	0.31
Ioversol	Reporter country	COLOMBIA	7	0.21
Ioversol	Reporter country	INDIA	7	0.21
Ioversol	Reporter country	RUSSIAN FEDERATION	7	0.21
Ioversol	Reporter country	SE	7	0.21
Ioversol	Reporter country	CZECH REPUBLIC	6	0.18
Ioversol	Reporter country	IN	6	0.18
Ioversol	Reporter country	TR	6	0.18
Ioversol	Reporter country	TW	6	0.18
Ioversol	Reporter country	AT	5	0.15
Ioversol	Reporter country	CL	5	0.15
Ioversol	Reporter country	FI	5	0.15
Ioversol	Reporter country	SOUTH AFRICA	5	0.15
Ioversol	Reporter country	SWEDEN	5	0.15
Ioversol	Reporter country	THAILAND	5	0.15
Ioversol	Reporter country	GREECE	4	0.12
Ioversol	Reporter country	LEBANON	4	0.12
Ioversol	Reporter country	MEXICO	4	0.12
Ioversol	Reporter country	NI	4	0.12
Ioversol	Reporter country	PHILIPPINES	4	0.12
Ioversol	Reporter country	SINGAPORE	4	0.12
Ioversol	Reporter country	ZA	4	0.12
Ioversol	Reporter country	CZ	3	0.09
Ioversol	Reporter country	EC	3	0.09
Ioversol	Reporter country	HR	3	0.09
Ioversol	Reporter country	ME	3	0.09
Ioversol	Reporter country	PUERTO RICO	3	0.09
Ioversol	Reporter country	RO	3	0.09
Ioversol	Reporter country	RS	3	0.09
Ioversol	Reporter country	AUSTRIA	2	0.06
Ioversol	Reporter country	EGYPT	2	0.06
Ioversol	Reporter country	GT	2	0.06
Ioversol	Reporter country	HK	2	0.06
Ioversol	Reporter country	HUNGARY	2	0.06
Ioversol	Reporter country	KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF	2	0.06
Ioversol	Reporter country	PH	2	0.06
Ioversol	Reporter country	QA	2	0.06
Ioversol	Reporter country	SK	2	0.06
Ioversol	Reporter country	UM	2	0.06
Ioversol	Reporter country	ARGENTINA	1	0.03
Ioversol	Reporter country	BE	1	0.03
