analysis_group	analysis_base_rows	distinct_reports	pt_record_rows_after_filters	distinct_reports_in_pt_records	distinct_pts_in_pt_records
POOLED	14781	14781	42811	14762	2173
Iohexol	6443	6443	19263	6432	1465
Ioversol	3272	3272	9289	3271	850
Iopamidol	2797	2797	7397	2792	1109
Iodixanol	2269	2269	6862	2267	908
