"analysis_group","soc_en","soc_cn","pt_count","summed_pt_case_count","ror_positive_pt_count","prr_positive_pt_count","bcpnn_positive_pt_count","mgps_positive_pt_count","core_ror_prr_positive_pt_count","strict_four_algorithm_positive_pt_count","max_ROR","max_PRR","max_IC","max_EBGM"
"Iopamidol","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","39","799","30","28","32","13","28","13","123.93","123.76","6.93","16.55"
"Iopamidol","Nervous system disorders","各类神经系统疾病","45","717","19","18","23","12","18","12","34.62","34.47","5.1","14.71"
"Iopamidol","General disorders and administration site conditions","全身性疾病及给药部位各种反应","41","746","15","14","18","10","14","10","113.62","111.16","6.77","58.17"
"Iopamidol","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","29","321","13","13","13","10","13","10","1519.84","1498.12","10.27","76.08"
"Iopamidol","Cardiac disorders","心脏器官疾病","25","393","15","15","17","9","15","9","56.07","55.76","5.79","20.91"
"Iopamidol","Immune system disorders","免疫系统疾病","8","811","7","7","7","7","7","7","551.14","520.85","8.92","189.05"
"Iopamidol","Vascular disorders","血管与淋巴管类疾病","14","257","10","10","10","7","10","7","47.28","47.23","5.55","13.13"
"Iopamidol","Investigations","各类检查","23","324","15","13","15","5","13","5","63.35","63.06","5.97","24.69"
"Iopamidol","Renal and urinary disorders","肾脏及泌尿系统疾病","13","220","9","9","9","4","9","4","33.54","32.98","5.04","24.72"
"Iopamidol","Product issues","产品问题","6","96","5","5","5","4","5","4","60.22","59.97","5.89","17.81"
"Iopamidol","Gastrointestinal disorders","胃肠系统疾病","21","443","11","10","13","3","9","3","26.63","26.55","4.73","10.59"
"Iopamidol",,,"16","174","11","11","12","3","11","3","27.97","27.73","4.79","18.15"
"Iopamidol","Eye disorders","眼器官疾病","17","121","12","12","12","3","12","3","61.56","61.48","5.93","7.96"
"Iopamidol","Infections and infestations","感染及侵染类疾病","13","84","7","7","7","3","7","3","85.78","85.32","6.4","22.87"
"Iopamidol","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","22","645","13","13","15","2","13","2","13.45","13.44","3.75","8.41"
"Iopamidol","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","11","90","1","1","2","1","1","1","37.14","36.97","5.2","15.82"
"Iopamidol","Hepatobiliary disorders","肝胆系统疾病","6","26","2","2","2","1","2","1","412.7","411.67","8.6","14.48"
"Iopamidol","Surgical and medical procedures","各种手术及医疗操作","2","15","2","2","2","1","2","1","6.81","6.79","2.76","5.06"
"Iopamidol","Social circumstances","社会环境","1","8","1","1","1","1","1","1","8.91","8.89","3.15","6.07"
"Iopamidol","Psychiatric disorders","精神病类","11","113","4","3","4","0","3","0","2.8","2.79","1.48","2.64"
"Iopamidol","Metabolism and nutrition disorders","代谢及营养类疾病","10","52","1","1","1","0","1","0","4.83","4.83","2.27","3.58"
"Iopamidol","Blood and lymphatic system disorders","血液及淋巴系统疾病","4","20","1","1","1","0","1","0","3.66","3.65","1.87","3.1"
"Iopamidol","Endocrine disorders","内分泌系统疾病","2","11","1","1","1","0","1","0","2.63","2.62","1.39","2.29"
"Iopamidol","Ear and labyrinth disorders","耳及迷路类疾病","2","11","0","0","0","0","0","0","0.81","0.81","-0.3","0.83"
"Iopamidol","Pregnancy, puerperium and perinatal conditions","妊娠期、产褥期及围产期状况","1","5","0","0","0","0","0","0","1.23","1.23","0.3","1.2"
"Ioversol","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","45","1830","33","31","35","19","31","19","266.5","264.47","7.99","50.38"
"Ioversol","General disorders and administration site conditions","全身性疾病及给药部位各种反应","50","925","25","23","27","14","23","14","18265.41","18248.66","12.16","25.61"
"Ioversol","Gastrointestinal disorders","胃肠系统疾病","26","731","19","18","20","13","18","13","80.87","80.19","6.31","33.38"
"Ioversol","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","32","1760","24","24","27","12","24","12","24.57","24.38","4.6","20.21"
"Ioversol","Immune system disorders","免疫系统疾病","10","555","9","9","9","8","9","8","175.04","171.74","7.38","71.74"
"Ioversol",,,"16","218","12","12","14","8","12","8","182.65","182.49","7.47","9.47"
"Ioversol","Vascular disorders","血管与淋巴管类疾病","12","413","8","8","11","7","8","7","728.06","717.39","9.33","84.38"
"Ioversol","Eye disorders","眼器官疾病","17","341","13","13","14","6","13","6","21.71","21.46","4.42","17.08"
"Ioversol","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","15","129","6","6","6","6","6","6","457.03","454.8","8.73","30.68"
"Ioversol","Investigations","各类检查","14","313","11","9","11","5","9","5","45.7","45.55","5.5","15.47"
"Ioversol","Cardiac disorders","心脏器官疾病","20","309","10","10","11","5","10","5","154.79","154.65","7.24","10.03"
"Ioversol","Nervous system disorders","各类神经系统疾病","34","596","14","11","17","3","11","3","24.55","24.53","4.61","6.99"
"Ioversol","Renal and urinary disorders","肾脏及泌尿系统疾病","11","309","4","4","7","3","4","3","112.59","106.49","6.71","81.22"
"Ioversol","Infections and infestations","感染及侵染类疾病","7","30","3","3","4","2","3","2","73.16","73.07","6.17","8.1"
"Ioversol","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","9","51","2","2","2","1","2","1","19.46","19.41","4.27","9.31"
